hazard_mode,agent,reliability,evaluation_policy_mode,mean,standard_deviation,ci_low,ci_high,n_seeds,n_observations
recoverable,q_learning,0.86,greedy,6.94464,0.0877241993859,6.905025,6.982723,20,20
recoverable,q_learning,0.88,behavior,6.75328,0.185690794489,6.677118,6.836402,20,20
recoverable,q_learning,0.88,greedy,7.0428,0.093253880969,7.000119,7.081883,20,20
recoverable,q_learning,0.9,behavior,6.83324,0.155281904595,6.764347,6.899566,20,20
recoverable,q_learning,0.9,greedy,7.10764,0.0792667342452,7.07239,7.13948,20,20
recoverable,q_learning,1,behavior,7.30004,0.07528258623,7.268828,7.332807,20,20
recoverable,q_learning,1,greedy,7.52,9.11251831402e-16,7.52,7.52,20,20
recoverable,sarsa,0.6,behavior,6.1754,0.272229485235,6.055493,6.289575,20,20
recoverable,sarsa,0.6,greedy,6.46776,0.124517926843,6.415222,6.518522,20,20
recoverable,sarsa,0.7,behavior,6.6248,0.153244325043,6.552112,6.685402,20,20
recoverable,sarsa,0.7,greedy,6.79236,0.123734309585,6.731958,6.837969,20,20
recoverable,sarsa,0.78,behavior,6.79776,0.139301741403,6.7383,6.85748,20,20
recoverable,sarsa,0.78,greedy,6.9716,0.0916610690476,6.927595,7.009241,20,20
recoverable,sarsa,0.79,behavior,6.79336,0.243101240335,6.677552,6.882447,20,20
recoverable,sarsa,0.79,greedy,6.96932,0.170959452256,6.88905,7.030801,20,20
recoverable,sarsa,0.8,behavior,6.86136,0.139221317182,6.79834,6.915761,20,20
recoverable,sarsa,0.8,greedy,7.01432,0.114897233717,6.9596,7.05724,20,20
recoverable,sarsa,0.805,behavior,6.86612,0.157299585438,6.79444,6.923201,20,20
recoverable,sarsa,0.805,greedy,7.01764,0.0933033445556,6.974279,7.053601,20,20
recoverable,sarsa,0.81,behavior,6.81824,0.230989100677,6.712295,6.90597,20,20
recoverable,sarsa,0.81,greedy,6.98204,0.160357175015,6.912355,7.045603,20,20
recoverable,sarsa,0.82,behavior,6.88504,0.18564411454,6.792478,6.952321,20,20
recoverable,sarsa,0.82,greedy,7.03848,0.142387202263,6.968108,7.084083,20,20
recoverable,sarsa,0.825,behavior,6.88188,0.203282250241,6.787628,6.959525,20,20
recoverable,sarsa,0.825,greedy,7.03964,0.130748510709,6.981104,7.089842,20,20
recoverable,sarsa,0.835,behavior,6.85816,0.215947455597,6.754895,6.947377,20,20
recoverable,sarsa,0.835,greedy,7.02564,0.127974069742,6.9708,7.076086,20,20
recoverable,sarsa,0.84,behavior,6.8326,0.262032975024,6.713679,6.935289,20,20
recoverable,sarsa,0.84,greedy,7.01612,0.164690055303,6.945116,7.077762,20,20
recoverable,sarsa,0.845,behavior,6.83676,0.241470230049,6.727356,6.932643,20,20
recoverable,sarsa,0.845,greedy,7.01736,0.146747152398,6.953798,7.074763,20,20
recoverable,sarsa,0.85,behavior,6.724,0.261644226102,6.608223,6.825691,20,20
recoverable,sarsa,0.85,greedy,6.96004,0.145886005966,6.892384,7.019487,20,20
recoverable,sarsa,0.855,behavior,6.83072,0.20235021647,6.74663,6.913526,20,20
recoverable,sarsa,0.855,greedy,7.00868,0.122627590267,6.954794,7.06052,20,20
recoverable,sarsa,0.86,behavior,6.79924,0.221146711008,6.698994,6.892043,20,20
recoverable,sarsa,0.86,greedy,7.01748,0.105152568855,6.973359,7.061808,20,20
recoverable,sarsa,0.88,behavior,6.74176,0.188972552727,6.663115,6.822641,20,20
recoverable,sarsa,0.88,greedy,7.03104,0.0924904455948,6.991436,7.067801,20,20
recoverable,sarsa,0.9,behavior,6.85752,0.141789323331,6.796116,6.917697,20,20
recoverable,sarsa,0.9,greedy,7.1148,0.0687076491566,7.083999,7.143444,20,20
recoverable,sarsa,1,behavior,7.29544,0.0754834969764,7.264079,7.328321,20,20
recoverable,sarsa,1,greedy,7.52,9.11251831402e-16,7.52,7.52,20,20
