hazard_mode,agent,reliability,evaluation_policy_mode,mean,standard_deviation,ci_low,ci_high,n_seeds,n_observations
recoverable,sarsa,0.78,behavior,22.6458595755,14.403255622,16.7501879641,28.9397190219,20,20
recoverable,sarsa,0.78,greedy,14.5374251465,11.2974034352,10.1094949228,19.5191420797,20,20
recoverable,sarsa,0.79,behavior,26.063033107,30.2362434784,15.2918678338,41.7402355433,20,20
recoverable,sarsa,0.79,greedy,17.6413546591,26.417025436,8.68765603269,30.2822225083,20,20
recoverable,sarsa,0.8,behavior,18.2610815839,12.565668353,13.2254148119,23.8562178721,20,20
recoverable,sarsa,0.8,greedy,11.9092016946,12.4472106526,6.95142289289,17.4922252774,20,20
recoverable,sarsa,0.805,behavior,20.607545205,27.8258467517,11.7575218081,35.2327490797,20,20
recoverable,sarsa,0.805,greedy,14.1651650809,17.8769544921,8.0174530144,23.3822457057,20,20
recoverable,sarsa,0.81,behavior,31.4154335701,43.967029423,14.5446584548,51.8855197545,20,20
recoverable,sarsa,0.81,greedy,25.1804072855,39.1530292976,10.076255447,42.8168777931,20,20
recoverable,sarsa,0.82,behavior,19.6415425551,22.4009356489,11.5076741308,29.7613460701,20,20
recoverable,sarsa,0.82,greedy,12.6190251945,22.9834966531,5.50977103339,23.557654568,20,20
recoverable,sarsa,0.825,behavior,23.0457704289,32.4623129877,10.9446272341,37.9515296807,20,20
recoverable,sarsa,0.825,greedy,15.4969056966,27.368895644,5.6224794109,27.8956354175,20,20
recoverable,sarsa,0.835,behavior,34.1918267271,40.6641500366,17.8509571765,52.3378400656,20,20
recoverable,sarsa,0.835,greedy,25.3314003209,35.9763997638,11.0238990248,41.1684901942,20,20
recoverable,sarsa,0.84,behavior,39.5263850983,45.3506778193,21.5177257332,59.4563356196,20,20
recoverable,sarsa,0.84,greedy,30.0199851107,40.4409350452,14.2757043241,48.3249461671,20,20
recoverable,sarsa,0.845,behavior,43.9085851832,45.8726117152,25.0642140202,63.9566079435,20,20
recoverable,sarsa,0.845,greedy,34.0125919517,39.664172591,18.1617417239,50.8450565484,20,20
recoverable,sarsa,0.85,behavior,68.2434073127,45.4569844239,49.3557223301,87.6623162847,20,20
recoverable,sarsa,0.85,greedy,51.8540730452,37.7450773637,35.0540005399,67.8682780881,20,20
recoverable,sarsa,0.855,behavior,50.9038880343,43.8061750697,32.3227638661,70.5905084076,20,20
recoverable,sarsa,0.855,greedy,40.7116635136,38.4156891306,25.2809632622,57.895300305,20,20
recoverable,sarsa,0.86,behavior,64.083678168,46.7396170259,43.8124514494,83.4553517651,20,20
recoverable,sarsa,0.86,greedy,49.5942180686,38.2614914604,33.900059071,65.4017059329,20,20
recoverable,sarsa,0.88,behavior,88.8983853024,27.3532921451,76.4280457173,100.145936899,20,20
recoverable,sarsa,0.88,greedy,65.0391206517,18.504614846,56.461195042,72.1449983074,20,20
recoverable,sarsa,0.9,behavior,78.5765292553,24.2298897007,67.4244433246,87.9749275747,20,20
recoverable,sarsa,0.9,greedy,55.1710218753,16.6469948653,47.1939711859,61.3426068769,20,20
recoverable,sarsa,1,behavior,31.6975202119,12.3072398644,26.3332210029,36.9800213271,20,20
recoverable,sarsa,1,greedy,0,0,0,0,20,20
