hazard_mode,agent,reliability,evaluation_policy_mode,evaluation_episodes,terminated_episodes,truncated_episodes,truncation_rate
recoverable,sarsa,0.84,behavior,500,500,0,0
recoverable,sarsa,0.84,greedy,500,500,0,0
recoverable,sarsa,0.845,behavior,500,500,0,0
recoverable,sarsa,0.845,greedy,500,500,0,0
recoverable,sarsa,0.85,behavior,500,500,0,0
recoverable,sarsa,0.85,greedy,500,500,0,0
recoverable,sarsa,0.855,behavior,500,500,0,0
recoverable,sarsa,0.855,greedy,500,500,0,0
recoverable,sarsa,0.86,behavior,500,500,0,0
recoverable,sarsa,0.86,greedy,500,500,0,0
recoverable,sarsa,0.88,behavior,500,500,0,0
recoverable,sarsa,0.88,greedy,500,500,0,0
recoverable,sarsa,0.9,behavior,500,500,0,0
recoverable,sarsa,0.9,greedy,500,500,0,0
recoverable,sarsa,1,behavior,500,500,0,0
recoverable,sarsa,1,greedy,500,500,0,0
