hazard_mode,agent,progress,reliability,mean,ci_low,ci_high,n_seeds,n_observations
recoverable,sarsa,1,0.805,0.05,0.0088814488008,0.236131193447,20,20
recoverable,sarsa,1,0.81,0.15,0.0523687458962,0.360418864741,20,20
recoverable,sarsa,1,0.82,0.05,0.0088814488008,0.236131193447,20,20
recoverable,sarsa,1,0.825,0.1,0.0278664812138,0.301033645228,20,20
recoverable,sarsa,1,0.835,0.2,0.0806576625798,0.416017432252,20,20
recoverable,sarsa,1,0.84,0.3,0.145477244868,0.518972818354,20,20
recoverable,sarsa,1,0.845,0.35,0.181191824101,0.567145723315,20,20
recoverable,sarsa,1,0.85,0.6,0.386581500762,0.781193467627,20,20
recoverable,sarsa,1,0.855,0.45,0.258197858256,0.65791465755,20,20
recoverable,sarsa,1,0.86,0.6,0.386581500762,0.781193467627,20,20
recoverable,sarsa,1,0.88,0.95,0.763868806553,0.991118551199,20,20
recoverable,sarsa,1,0.9,0.95,0.763868806553,0.991118551199,20,20
recoverable,sarsa,1,1,1,0.838874841947,1,20,20
