hazard_mode,agent,reliability,mean,standard_deviation,ci_low,ci_high,n_seeds,n_observations
recoverable,sarsa,0.82,0.0572772669798,0.00962334192107,0.0525256637595,0.0606854910561,20,20
recoverable,sarsa,0.825,0.0729940675327,0.0157048077719,0.06515028398,0.0782528355188,20,20
recoverable,sarsa,0.835,0.0993057425803,0.0378620532508,0.0810535341534,0.11371482915,20,20
recoverable,sarsa,0.84,0.107868064611,0.0476237504829,0.0861511403279,0.127747820567,20,20
recoverable,sarsa,0.845,0.109990521804,0.0669802330711,0.0814628452253,0.137488434867,20,20
recoverable,sarsa,0.85,0.0804011106072,0.0776235121755,0.0483466774071,0.112303843114,20,20
recoverable,sarsa,0.855,0.114446075154,0.0857700909404,0.0746797468491,0.150097591727,20,20
recoverable,sarsa,0.86,0.096648885771,0.0963366912215,0.0531774594323,0.137535302078,20,20
recoverable,sarsa,0.88,0.0236487540906,0.0597310851346,0.007237594499,0.0517648062774,20,20
recoverable,sarsa,0.9,0.0277870325769,0.0804978467856,0.00376018356382,0.0684644992747,20,20
recoverable,sarsa,1,1.7763568394e-15,0,1.7763568394e-15,1.7763568394e-15,20,20
