trial_id,seed,agent,hazard_mode,reliability,progress,target_global_step,observed_global_step,step_lag,choice,greedy_action,corridor_selected
recoverable_risky_corridor-expected_sarsa-s1-0adcaff12266,1,expected_sarsa,recoverable,0.86,1,100000,100000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s1-0be786c34f00,1,expected_sarsa,recoverable,0.835,0.25,25000,25000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-0be786c34f00,1,expected_sarsa,recoverable,0.835,0.5,50000,50000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s1-0be786c34f00,1,expected_sarsa,recoverable,0.835,0.75,75000,75000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-0be786c34f00,1,expected_sarsa,recoverable,0.835,1,100000,100000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-15dc31fe3977,1,expected_sarsa,recoverable,0.825,0.25,25000,25000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s1-15dc31fe3977,1,expected_sarsa,recoverable,0.825,0.5,50000,50000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-15dc31fe3977,1,expected_sarsa,recoverable,0.825,0.75,75000,75000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-15dc31fe3977,1,expected_sarsa,recoverable,0.825,1,100000,100000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-1fa87ce5c9b4,1,expected_sarsa,recoverable,0.84,0.25,25000,25000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s1-1fa87ce5c9b4,1,expected_sarsa,recoverable,0.84,0.5,50000,50000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s1-1fa87ce5c9b4,1,expected_sarsa,recoverable,0.84,0.75,75000,75000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-1fa87ce5c9b4,1,expected_sarsa,recoverable,0.84,1,100000,100000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-53a7564d10ff,1,expected_sarsa,recoverable,0.855,0.25,25000,25000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s1-53a7564d10ff,1,expected_sarsa,recoverable,0.855,0.5,50000,50000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s1-53a7564d10ff,1,expected_sarsa,recoverable,0.855,0.75,75000,75000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-53a7564d10ff,1,expected_sarsa,recoverable,0.855,1,100000,100000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s1-6b66591a7ff1,1,expected_sarsa,recoverable,0.9,0.25,25000,25000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-6b66591a7ff1,1,expected_sarsa,recoverable,0.9,0.5,50000,50000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s1-6b66591a7ff1,1,expected_sarsa,recoverable,0.9,0.75,75000,75000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s1-6b66591a7ff1,1,expected_sarsa,recoverable,0.9,1,100000,100000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s1-6decaf0f5add,1,expected_sarsa,recoverable,0.7,0.25,25000,25000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-6decaf0f5add,1,expected_sarsa,recoverable,0.7,0.5,50000,50000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-6decaf0f5add,1,expected_sarsa,recoverable,0.7,0.75,75000,75000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-6decaf0f5add,1,expected_sarsa,recoverable,0.7,1,100000,100000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-7ce9937e85f3,1,expected_sarsa,recoverable,1,0.25,25000,25000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s1-7ce9937e85f3,1,expected_sarsa,recoverable,1,0.5,50000,50000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s1-7ce9937e85f3,1,expected_sarsa,recoverable,1,0.75,75000,75000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s1-7ce9937e85f3,1,expected_sarsa,recoverable,1,1,100000,100000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s1-889f8934bce3,1,expected_sarsa,recoverable,0.79,0.25,25000,25000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s1-889f8934bce3,1,expected_sarsa,recoverable,0.79,0.5,50000,50000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-889f8934bce3,1,expected_sarsa,recoverable,0.79,0.75,75000,75000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-889f8934bce3,1,expected_sarsa,recoverable,0.79,1,100000,100000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-901337f14800,1,expected_sarsa,recoverable,0.88,0.25,25000,25000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s1-901337f14800,1,expected_sarsa,recoverable,0.88,0.5,50000,50000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s1-901337f14800,1,expected_sarsa,recoverable,0.88,0.75,75000,75000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s1-901337f14800,1,expected_sarsa,recoverable,0.88,1,100000,100000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s1-b169117bd391,1,expected_sarsa,recoverable,0.85,0.25,25000,25000,0,corridor,1,1
